[00:00.240] 接了二次客户李女士，
[117:56.220] 政府支持。
[117:57.870] 你杀过去，然后把你们计划设计吗给推过来了。
[118:02.740] 他先测我没钱，他什么时候能提出来？
[118:07.190] 那个也快分期应该是星期一就能批过了，星期二就可以开始把那。
[118:13.050] 车给开过来。
[118:14.140] 就是说您星期二开过来，把旧车放在新车开走。
[118:17.530] 不还得做一个什么陕西什么同步。
[118:21.010] 特别快不影响。
[118:26.550] 昨晚看了重要事情的理解，
[118:29.480] 邮箱，
[118:31.030] 我们现在主要形式。
[118:33.800] 没事这可能时间。
[118:39.330] 临牌是不是也要遵守尾号限行的，您。
[118:44.070] 旧金山这样
[118:47.120] 的。
[118:50.490] 您还有一个月你们有什么他说三次，每次15千万对。
[118:55.960] 三五天。
[118:57.430] 这5天当中一定要抽到定位的。
[119:03.360] 你还是对。
[119:07.030] 银行叶子你跟抽查，
[119:12.090] 然后银行两
[119:13.840] 你也试用一段时间还是长期用，比方说
[119:19.160] 等等，我学个车，然后我再摇个号，等我摇上了，完了他说就是用了
[119:30.980] 没驾照吊销了，没有年检。
[119:36.720] 后来关系通过摇号，对，然后他说要不然等公司
[119:42.980] 本公司
[119:44.280] 看看能不能就开完税，然后允许摇了，然后公司也摇上，如果能摇中的话，
[119:51.830] 就把这还给你，你说这不是也都是摇摇服气吗？
[119:56.140] 就是姐姐的妈妈。
[120:00.920] 我们好像前内容，
[120:03.800] 谁知
[120:06.230] 谁知
[120:09.640] 您要是一块交钱，还是我先带您上楼交钱吗？
[120:12.840] 就一块交行，您这都做完，一会儿一块找领导签字行。
[120:20.800] 您这么说完。
[120:27.160] 开始做着。
[120:28.760] 您身份您说完了，我暂时不用。
[120:39.440] 您先拿着暂时不用。
[120:45.930] 然后女士您身边您
[120:48.800] 您好。
[120:54.890] 他怎么能说的，我怎么收不到。
[120:56.880] 这边是个什么词对吧？二
[121:00.090] 行吗？
[121:01.440] 您要时尚的事，我还得把车标。
[121:04.070] 对。
[121:05.130] 对不对？
[121:08.360] 第三百十伤力镖。
[121:11.260] 还要交费吗？
[121:15.390] 你这召回的时候那段时间提供出来吗？提供了就该怎么卖就卖，他召回的时候那批车已经在厂家已经做完了，就。
[121:25.420] 不是我自己，比如说我车召回了，那段时间我没说看你是提供大家说话行吗？
[121:32.030] 好像没听说过没有。
[121:35.970] 您那颗生产日期6月。
[121:37.630] 三号。
[121:47.920] 545092. 
[121:51.420] 二
[121:53.650] 三。
[121:57.200] 我们下次来的时候带几张
[122:00.530] 信用卡申请
[122:02.910] 帮我代理商信
[122:05.360] 每天都有人过来，三百十上，对一三百十让黑车多。
[122:09.970] 一般
[122:13.000] 花。
[122:17.890] 的
[122:31.740] 我给你写到星期三。
[122:34.760] 交出日期。
[122:36.450] 不是星期二限号。
[122:37.480] 奥。
[122:38.280] 星期三九8。
[122:39.180] 好。
[122:42.390] 然后晚上也可以是吧？
[122:44.690] 您把咱最好跟我说。
[122:47.750] 您估计那天周三可以，我怕三。
[122:52.320] 现在
[122:53.500] 行。
[122:54.740] 今天。
[122:56.550] 这样
[122:57.720] 能够
[123:01.480] 一下。
[123:06.850] 也难怪。
[123:07.760] 是不是不算车牌的话，就省事儿都不用买着，也一样临牌。
[123:14.440] 甭管您是。
[123:15.440] 换车门都得
[123:18.460] 包括解。
[123:19.220] 个。
[123:19.690] 也这个车拿着指标直接过来的，都得办。
[123:22.590] 门。
[123:23.070] 办临牌都伴随。
[123:24.010] 不了。
[123:24.640] 您新干事湖南的是吧？
[123:28.060] 您有记住。
[123:28.750] 卡吗？
[123:29.490] 就是这有吧。
[123:32.240] 就这样。
[123:33.400] 没有。
[123:35.620] 夏都叫居住卡，居住证都行。
[123:37.760] 都有。
[123:38.950] 现在您跟我说完您。
[123:40.190] 话1341342607260719481948。
[123:46.450] 邮箱号您有吗？
[123:48.790] 要不然你给我写一下，写得非常快。
[123:55.220] 这以为他们要发什么东西吗？他
[123:59.000] 就写一个格式。
[124:04.780] 要是说有居住卡，我记住这。
[124:06.550] 必须在有期范围之内，下次您提车时候医疗带着
[124:12.160] 有方法有没有用他的？
[124:14.470] 您在办一个你不是有。
[124:15.590] 房本吗？
[124:16.890] 防马去了就。
[124:18.050] Man，人5分钟用办法特别开心，
[124:20.670] 中国怎么办？
[124:22.440] 里边有两天放的。
[124:24.280] 不一样，
[124:26.200] 谁知
[124:29.000] 那是什么东西？
[124:34.240] 必须得要吗？肯定不要，因为咱们。
[124:37.930] 户口不是北京的，得要一。
[124:46.140] 我终于去了。
[124:49.670] 你有可能过期了我不知道吗？他们给你们去没有吗？他们今年咱们都没办，今天都没去。
[124:58.230] 不是今天他们好像那不知道给你们
[125:01.360] 一样。
[125:02.320] 问一下估计没有。
[125:04.240] 给我收上来。
[125:29.140] 您
[125:30.980] 代步车限行上刚才您讲解。
[125:36.720] 还行，我觉得是
[125:39.400] 您上有点免了，第一年先看一下。
[125:43.020] 挺有用。
[125:43.930] 的。
[125:44.420] 也还有
[125:45.420] 前段时间有一客户就是没上，后来又回来上了
[125:50.710] 了
[125:53.720] 点。
[125:56.850] 你说的学生说我说了是你的，
[126:01.700] 你知道吗？
[126:02.460] 那用我手机的东西你到哪个了？我当然相信你看看。
[126:07.660] 他拿着我手机等会我手机。
[126:10.580] 你不找他学费吗？
[126:12.740] 心血还交学费了，没电了他就严重了，他给您就教育不是培训费。
[126:18.610] 不住。
[126:19.800] 他说缴费，他说不是雪梅说是学费，
[126:24.430] 我觉得同时出动没拿。
[126:29.890] 你还别说他说用本手机号可能是这你转发给我的，我没收到这个。
[126:35.280] 可能还真得用你手机。
[126:37.570] 我问儿子万块钱你我就让了进去了。
[126:40.220] 小儿子不需要办吗？员工怎么认识？
[126:44.960] 您是要电视还要耳机。
[126:47.930] 电视真的没什么用的，他交1400多块钱的
[126:54.890] 的保险，送一个耳机或者送一个电视，
[126:59.530] 什么电视小米是吧？
[127:03.270] 我跟您说一下，保险公司都给他上平安了，因为只有骗子。
[127:06.440] 欧。
[127:07.280] 活动社保金是吗？
[127:10.200] 耳机是品牌的，我问了什么品牌，反正也挺。
[127:13.130] 好的类型。
[127:14.150] 我忘了那肯定得。
[127:15.630] 就1000多块钱。
[127:16.440] 8万电商。
[127:18.610] 反正我要点击，关键是那电视没用，你搁
[127:23.940] 你把房子电视给换了50多寸的。
[127:28.000] 不是，我是用小米上面的。
[127:31.100] 不是我的后代，我说我请了我们。
[127:34.070] 现在客厅。
[127:35.830] 的
[127:37.330] 55分小米店一样。
[127:43.700] 他的。
[127:44.740] 还有。
[127:50.990] 不是吗？我用的的。
[128:00.540] 每次他们。
[128:01.540] 两位来我上车一天时间把音响关了。
[128:04.870] 换什么？
[128:07.690] 上班特别烦，放着音乐轻松，
[128:11.670] 等我翻着音乐拉
[128:14.300] 不玩音乐的，但是我想说。
[128:18.070] 请看。
[128:19.530] 乐享生活。
[128:21.030] 反应就可以了。
[128:22.730] 出去玩开开。
[128:24.170] 广播里面量完了不听。
[128:26.800] 不行了，那一组车还要听听。
[128:29.440] 不生气也不听。
[128:32.030] 以前还听歌什么，昨天你听了小时候就住在那种。
[128:36.030] 我喜欢听。
[128:37.050] 对，反正我也听。
[128:38.440] 我还喜欢我你愿意跟开车一边发抖ing。
[128:40.930] 今天走势。
[128:42.210] 东西多微信对我还别不信，谢谢吗？有点可以听得到，请进来，别走。
[128:51.140] 这边签字。
[128:52.620] 让你们试一下，我看看。
[129:01.510] 我们到时候还要去车间值班的吗？
[129:05.030] 什么东西不要。
[129:06.690] 新车夜车上班得去，就车用的不。
[129:09.180] 不用，你都交了2500块钱了。
[129:12.460] 如果您的选号之类都得去，而且先说说您的营业执照之类都是
[129:17.500] 了，谁知。
[129:20.190] 首先汇报了行业代码你给我我。
[129:26.630] 我觉得挺好的话，
[129:29.530] 好的他了。
[129:34.880] 阿姨了吧。
[129:37.990] 让自己完了你看远远。
[129:47.030] 号。
[129:48.110] 坏
[129:50.000] 数据
[129:52.800] 坏
[129:59.170] 花花。
[130:01.760] 习惯。
[130:04.040] 场
[130:05.630] 的。
[130:08.410] 的。
[130:10.870] 脾气远场。
[130:19.810] 好。
[130:21.030] 的。
[130:23.990] 玩玩一点，你还可以瘦脸。
[130:31.250] 了。
[130:33.620] 数据远远
[130:36.020] 远
[130:39.880] 坏
[130:43.810] 远。
[130:45.230] 来
[130:46.350] 坏。
[130:49.710] 坏
[130:51.570] 花。
[131:02.660] 谁知。
[131:05.550] 谁知
[131:08.630] 只有34。
[131:12.280] 行了。
[131:13.760] 没问题了，行来我再跟你说话。
[131:16.800] 好。想抱着。
[131:18.270] 中间这一块我跟他核对公司的信息。
[131:21.070] 新房是吧？
[131:22.070] 13版时尚地标对吧？黑色的外观工作没时间。
[131:26.230] 车架号是545092。
[131:29.560] 给您车款。
[131:30.760] 161,800 10,039 3800元，
[131:33.840] 车辆都是两个父母。
[131:35.740] 5800，然后客户在北京排一共是72,000，然后如果感觉什么事。
[131:40.320] 要。
[131:41.070] 销售、
[131:42.000] 正常。
[131:43.980] 帮我加一个质化
[131:47.630] 的。
[131:51.490] 装了吗？
[131:55.430] 的。
[131:57.540] 的
[132:00.490] 的
[132:04.410] 坏。
[132:06.770] 肩膀。
[132:53.180] 那边那啥。
[133:02.880] 带着你去找他，你去找那输入完了，
[133:06.160] 你还下去这样就不去了。
[133:09.420] 他一个人不行，咱去看一下。
[133:12.610] 您这倒没想到后期加上的就是有一个。
[133:16.410] 补贴四相连那个问题。
[133:18.130] 以后实际之外。
[133:19.610] 成功了以后才发生
[133:21.450] 这5000万。
[133:23.160] 5500. 
[133:23.850] 说过了，都写上了。
[133:25.450] 妈妈可以
[133:40.160] 发一下没看见，没在那到这边出去，他不是出去抽烟，
[133:46.010] 这样天天抽烟上我一会就去干嘛就好。
[133:50.420] 完就完事儿咱们吃的他又。
[133:51.900] 饭，但是工作太忙。
[133:53.260] 这么黑。
[133:54.410] 我就赞成他在家
[133:58.050] 那个家里面还有个奶奶喜欢安静，中午都吃过他自己吃饭让他睡觉，
[134:05.430] 没有习惯以后搬过来，你今天出去这么不在一起玩，你们俩互相关心与爱，他家里现在全了游戏，什么玩具都没有了。
[134:14.550] 他现在中学生了是吧？
[134:16.680] 你答应了，你说早上谁知一堆过去，
[134:20.820] 小时候后来把玩具全拿走了，没有玩具了，要到哪下拿到另外一个家里了，你这家里没地搁，
[134:28.970] 拿到另外一个地方，
[134:30.190] 你先通道说到哪了？睡城的。
[134:33.200] 我们在这儿很近，
[134:36.890] 我上班也很近，就10分钟。
[134:39.260] 16家肯定别的吃吗？上班吃饭了。
[134:45.390] 好像是10万，阿姨问你个老，你这首不说他在带他找不到他，你找什么咱找别想了，你看你手上写的手机没拿，
[134:57.620] 还有我就等一下一会来。
[135:00.660] 我这种胖子教教我几分钟完事。
[135:03.120] 反正
[135:05.600] 8分钟我查一下。
[135:10.400] 很快我改一下就行了，这个简单了。
[135:13.000] 行改善。
[135:18.760] 我觉得将来还是开了。
[135:20.630] 就跟评议这种还可以比较适合他，对。
[135:25.150] 这挺贵的。
[135:27.090] 还有
[135:29.760] 比较稳定的感觉，
[135:32.310] 还我觉得挺好的。
[135:34.020] 我不觉得明治有什么好，你日本之后就不是很喜欢，日本人都不相信的，对，当时特别喜欢，我以前觉得
[135:43.110] 前期年头也想办出来了，而且凌志的轿车也没觉得蛮好。
[135:48.060] 我不喜欢。
[135:49.360] 日本前看。
[135:50.340] 日本说换成还换了日本车，怎么喜欢日本车，但是说多好玩，还用对，哎哟真的我们就行，母亲那时候开10年了，眉毛有，
[136:02.210] 我说要露雅是不是没毛病？我儿子说这声多好，为什么不换？他说不行，
[136:09.360] 不会说换个其他牌子，
[136:12.930] 看我至少我觉得姑娘好像还是哥哥。
[136:16.400] 日本那样怕你把我摔了是吧？
[136:22.750] 他哥哥好有劲，抽起来就做得很好，
[136:26.750] 经受的我妈出生受让就身体好，
[136:34.000] 能撑多久？
[136:34.840] 我们数数听，好，预备开始。十九。
[136:39.210] 七
[136:40.040] 6
[136:40.820] 五
[136:41.660] 43
[136:43.150] 二一十一想想了53。
[136:47.080] 45。
[136:48.710] 指定。
[136:49.660] 这样也挺厉害的还
[136:51.560] 还又A又去的，
[136:54.080] 尤其你更加的
[136:56.000] 呆久一点的是不是？
[136:59.380] 在高级它做好
[137:01.210] 一下感觉还行，我觉得上路了就上小学以后估计也能出来，没有。
[137:07.130] 唯一坚持了就这一个事情。
[137:10.390] 我每天都学完了，英语学完了，现在自己
[137:15.440] 听了看了，有人看，
[137:18.160] 数学就是一把一人出血搞了，
[137:21.380] 从表面就不认识，每天钟表一般用药，二年级就是三年级终点了，
[137:29.050] 100以外的时候也愿意吃着计算都没问题了，一般应该计算没问题，写字
[137:34.870] 看其实他字写得挺好的。
[137:38.820] 花都
[137:42.090] 我好像上海的话一个APK的，
[137:46.480] 反正口音了你就让他上线上是指您现在让你现在没好，家里面没上来挺好的，我们现在所有客户都献上了，后来有了他们就学而思。
[137:57.480] 还有一个咱们签说话好好笑。
[138:01.720] 先讲我还愿意听不过让他歇会儿，他这玩意走了行。
[138:08.240] 累了你好。
[138:09.340] 公司这么
[138:10.730] 我这不行那不行干嘛你看看上去了你这张皮。
[138:17.490] 皮。
[138:18.310] 不用了。
[138:19.860] 等你张先生您手机还是号码，你再给我发一下。
[138:24.540] 他理解您我也重新签下了。
[138:28.780] 您少了两个东西，少了一个养护礼包16057。
[138:34.910] 女孩这么久。
[138:37.210] 好吧。
[138:38.970] 等一会一会你也会发个验证码给我对吧？
[138:42.950] 等一会说说发音的，你告诉我。
[138:48.420] 数据。
[138:50.600] 讲。
[138:55.100] 了
[138:56.410] 了
[139:00.670] 要
[139:02.790] 了。
[139:07.320] 公司签不了，我打了半天手机，
[139:13.380] 这个就不用了。
[139:20.310] 你今天是不是给我打印让回去。
[139:23.770] 是吧？
[139:25.200] 我周一我周日就得拿过来吗？
[139:28.200] 周正、
[139:28.980] 你要说这未必能拿过来。
[139:30.530] 癌。
[139:31.550] 您什么了？你想我还得回去让人去那公司。
[139:37.440] 是吧？
[139:38.660] 然后再拿回来，我终于放来不及，
[139:42.230] 我怕死。
[139:44.970] 他来不及了，你估计是什么方便吗？
[139:47.760] 我觉得也得周三了，星期三那就不行，星期三星期三你就写周日，我星期三来也行。
[139:55.830] 你们让社区盖章，
[139:58.400] 你问问他是怎么了？
[140:04.920] 你看我这边给你写的是那个星期，到时候你买的时候来不及不行，咱们再调一下量。
[140:12.370] 如果要上午他们去能干回来，下午1点。
[140:16.230] 去不了周三，因为周二
[140:19.070] 我先行。
[140:20.990] 行行您二位都陷阱。
[140:24.380] 您那个合同得首先因为公司。
[140:26.850] 公司的
[140:28.340] 得首先
[140:29.920] 跟他那个人还不太一样
[140:32.760] 的。
[140:34.240] 对公司就是麻烦。
[140:36.250] 公司个人就好
[140:40.400] 了。
[140:42.760] 打印签字。
[140:48.190] 很快完事儿签个字，然后我去找领导签字，交钱就完事了。
[140:52.940] 吃饭
[140:55.530] 远
[140:57.920] 吃饭吃饭
[141:02.130] 走
[141:10.280] 拿手机就完了。
[141:14.430] 的
[141:19.770] 全新
[141:24.800] 的。
[141:27.930] 也装修房子。
[141:28.850] 谁知。
[141:31.660] 我也是。
[141:32.270] 刚装修。
[141:33.700] 有。您看一下你慢慢玩太多了。
[141:39.050] 那个班晚上感觉有一点点快，反正9月份期间搬过去行了。
[141:45.610] 钱都懒了吗？
[141:48.990] 一开始买了一会没看见吗？然后唱歌特别
[141:54.340] 你翻进去以后，手机后来就把它放到阳台，过道放了一半才行，
[142:00.850] 破坏了把天上旁边一个换了。
[142:03.990] 不能换一个群做进去吗？要不然您会觉得您说。
[142:09.330] 还增加了2亿港币。
[142:10.750] 钱买房子都没叫醒，你别写。
[142:13.640] 把委托书打印。
[142:14.450] 打过来，然后需要您签字。
[142:16.690] 我到时候您微信电子版的打电话给我，对，那不是很方便。
[142:24.700] 再重新
[142:27.880] 你看看
[142:30.080] 数据
[142:32.910] 场、
[142:37.410] 千
[142:38.990] 东西
[142:43.800] 找领导签字，
[142:47.840] 又广电的千。
[142:55.570] 天。
[142:58.490] 哪里有车想那特容易，其实是特烦的时候，
[143:03.820] 整完之后并不列好别人变了，我说咱们告挺紧密的问题，那句话没出过大事，
[143:11.630] 还挺好，上面有江北的名字，
[143:14.300] 而且还有他生日的。
[143:18.410] 知道。
[143:19.200] 当时候选人称号的时候，
[143:21.100] 选完以后就将那个他爸爸特别
[143:23.800] 选的灰的名字那啥，
[143:27.200] 那还了得少。
[143:28.680] 他爸也挺好的，因为我俩没结婚，后来我俩没钱买的车，我爸爸就给了我10块钱买的。
[143:39.440] 你都不知道。
[143:40.770] 我们原来。
[143:41.740] 说。
[143:42.510] 没有了。这边签一下签。
[143:47.060] 挣钱了。
[143:48.490] 看着他们送来进去。
[143:51.590] 我们每一个这样。
[143:52.430] 觉得都努力，
[143:54.930] 跳出来还是可以，我待着也累的。
[144:00.960] 刚刚好了，
[144:02.940] 计算等等。
[144:05.560] 三也好，三起来，
[144:08.010] 33爸爸这个方法了。
[144:14.380] 好吧。
[144:19.610] 刚才我妈每星期的
[144:23.810] 要
[144:26.790] 好。
[144:29.810] 12。
[144:35.250] 而且
[144:36.160] 你上级金卡我还也不行，无聊接近了半年了。
[144:41.710] 5581。
[144:44.400] 不过你晚点发给你吗？
[144:47.180] 你要做多少？
[144:49.300] 到建行他让我。
[144:51.650] 我花点。
[144:52.720] 让我做一个30万的。
[144:53.920] 工期
[144:54.970] 没有告知出去，
[144:57.930] 不无聊了，
[144:59.940] 你让干什么一会就行了，还有10分钟交管局的。
[145:06.780] 今天。
[145:08.610] 外面设备。
[145:11.780] 对。
[145:12.460] 综合优惠56,000。
[145:14.560] 但是
[145:16.330] 100
[145:17.160] 警匪材料的
[145:21.600] 那里面吃的比7年的车8点要大一点，然后他那边太小。
[145:29.010] 他也不行，对他今天后排特别小，
[145:35.090] 阿姨便慌了一下，然后心理它东西比较多，后面还是挺起的觉得。
[145:45.840] 后面就刚才比较
[145:47.520] 他水果卫生纸的口。
[145:51.190] 那个时候150。
[145:53.440] 就是说没卖完贺你知道吗？他下面建中的他
[145:57.330] 可就可以这样，反正我搞定了，他这有电子，你小坡对升起来了，
[146:02.820] 那坐着确实舒服。
[146:05.750] 你说说看。
[146:10.270] 远远
[146:13.180] 高
[146:16.690] 了
[146:22.290] 要
[146:29.720] 卡在里面。
[146:32.740] 你卡了，
[146:36.880] 谁知
[146:40.150] 谁知我喜欢那样的
[146:46.710] 太瘦了，他受不了的
[146:50.990] 特别
[146:52.660] 只好谁知百的
[147:01.000] 妈妈。
[147:04.830] 他们觉得特别快，大家听清楚，
[147:07.840] 看看。
[147:15.520] 你把你编辑刚才我看看吗？
[147:19.750] 你时间
[147:25.600] 哇塞。
[147:28.750] 3
[147:31.740] 二
[147:33.430] 三
[147:35.160] 4
[147:36.250] 谁知
[147:38.910] 没有吗？干嘛？
[147:41.340] 变了。
[147:44.080] 了，
[147:45.750] 你们等等。
[147:50.440] 了。
[147:53.070] 好像。
[147:55.450] 还是找领导签字，签字在楼上，谁知。
[147:59.350] 然后他要给我打印。
[148:01.260] 印有几。
[148:01.920] 问题就说要去迎合伟业的。
[148:04.440] 章然后。
[148:06.110] 的
[148:07.050] 他然后邀请有几个委托书要去银座委员盖章。
[148:11.540] 张
[148:13.160] 各上牌，那天要拿着一盒违约的越绕原件。
[148:16.160] 去上班。
[148:18.310] 你王丽萍说。
[148:19.740] 你跟他说。
[148:21.210] 我哪知道这不是说都是水污染，不明白。
[148:23.720] 我就是你找他行吗？我就给他打电话。
[148:25.690] 你觉得你要东海找他，你要说还找那司机。
[148:28.770] 你们好好交代清楚是吧？行，我在骡马市让他去弄的。
[148:32.580] 如果他那司机都不成，他肯定会打电话。
[148:35.220] 然后可能
[148:36.830] 为了吃牌子我都没光驱，没人说让王刚跟他说的。
[148:41.630] 不能传衣服衣服拽就不行了，漂亮就看那个变形了。
[148:51.390] 人家只投别家举手。
[148:57.630] 以上他都你穿着那种在家根本不斯文，
[149:02.400] 漂亮我都喝。
[149:04.160] 都没刚才跟小露
[149:07.510] 太小，我跟你说那孩子到了五六年级就跟那个女的差别特别大。
[149:13.060] 同学在长沙产业园已经开始了。
[149:17.040] 我刚才看你发的照片，那行他跟。
[149:20.680] 一庄他弄了一个镜框人。
[149:23.790] 本身当时
[149:25.480] 我代老师说上老人家不是去了一趟吗？
[149:30.120] 好像。
[149:30.580] 当时想让亦庄国投。
[149:33.570] 出点钱
[149:35.450] 参与到竞争不上。
[149:38.050] 后来 yeah，他们后来没成。
[149:43.270] 人家啥。
[149:43.760] 了。
[149:44.280] 你同学我这弄了多少产业的东西出来了，我再给你付多少钱。
[149:49.400] 那条件推可口可乐把放弃，
[149:52.370] 常常过后他也是在长沙成立公司，
[149:58.320] 谁知的了。
[150:02.680] 回去。
[150:03.580] 弹幕省高新投生产头
[150:12.430] 答应了。
[150:13.820] 不上学他都怕我们。
[150:15.130] 只有36330%。
[150:18.850] 10年后谁知。
[150:24.450] 不担心。
[150:25.010] 现在
[150:26.170] 要好好的企业。
[150:30.450] 的。
[150:31.090] 老周本人是湖南。
[150:32.350] 他也还是有。
[150:35.060] 都不干。
[150:37.280] 的也多。
[150:37.980] 对。
[150:39.360] 他就是总共给他58工地，
[150:41.970] 建设面积建筑面积12万平米。
[150:45.530] 的。
[150:46.270] 刚才老4~6万足够了。
[150:49.670] 剩下不了。
[150:50.410] 做开发，
[150:52.920] 然后将挖
[150:56.890] 送了
[151:02.050] 这么好不对。
[151:04.700] 我那天下雨，我穿的对最近特别多，对，我看以前会的群都拍都好看，不知道吗？
[151:14.630] 你们给我交钱了，孩子们都是了手机了。
[151:20.980] 手机上有照片。
[151:23.160] 坏数据。
[151:25.010] 两
[151:26.960] 谁知
[151:30.250] 花
[151:33.540] 号。
[151:34.360] 数据、
[151:39.480] 远场
[151:41.570] 数据
[151:49.490] 要
[151:55.590] 了
[151:57.520] 的。
[152:35.370] 他去了吗？
[152:36.740] 去了。
[152:38.090] 了
[153:27.190] 中
[153:30.820] 数据
[153:33.400] 的
[153:41.100] 花
[153:41.850] 数据。
[153:56.850] 数据
[153:58.190] 句。
[154:44.540] 了。
[154:46.160] 花
[154:48.180] 真的。
[154:49.350] 你没跑。
[154:51.650] 跑
[154:52.110] 的。
[154:54.940] 做作业。
[154:56.160] 夜
[154:57.650] 的。
[155:02.440] 现在应该还是你可以。
[155:04.680] 自己走就行了。
[155:09.140] 没啥兴趣是吗？
[155:11.400] 我就觉得日本车挺好，
[155:15.030] 这只跑步
[155:18.010] 你还是喜欢坐着四要背。
[155:20.330] 对，我觉得日本车挺好的。
[155:22.700] 不平的，分值大。
[155:27.010] 怎么着？你说再说一句。
[155:30.040] 比奔驰强。
[155:32.160] 你有用的对吧？不。
[155:34.380] 不明跟直落。
[155:36.970] 对。
[155:39.870] 好。
[155:43.780] 日本车没有。
[155:45.010] 德国车安全系数高，
[155:48.270] 但他们说增持也有一些什么转炉爆胎吗？上面说的对。
[155:55.080] 前一段。
[155:56.870] 多少辆婚车被召回来。
[156:18.210] 动吗？
[156:19.990] 必须
[156:21.320] 的。
[156:32.220] 我想那么多
[156:40.090] 好想看看跑去接近没什么不可以跑了。
[156:44.090] 封了他既然可以对他。
[156:49.490] 你。
[156:50.480] 会可能雷锋证券了。
[156:52.840] 不方便。
[156:59.590] 知道吗？
[157:01.560] 内部的这种必须要有
[157:06.730] 说
[157:08.740] 又全国
[157:10.980] 然后再
[157:12.610] 对白酒很坏。
[157:15.040] 厂花
[158:09.470] 数据、
[158:12.710] 了
[158:15.520] 的
[158:19.610] 号。
[160:00.940] 远
[160:05.160] 坏
[160:09.520] 数据。
[161:55.750] 坏
[161:57.270] 花
[162:06.960] 的
[162:10.200] 开心。
[162:14.890] 很幸福。
[162:17.070] 先把别关门。
[162:26.720] 咱们看一下，不要开门，关门了。
[162:29.570] 你叫他让一下。
[162:30.980] 不要在开门关门先生，
[162:33.650] 工厂老关门看能干嘛吗？
[162:37.800] 别管或者这边吗？
[162:40.000] 你说一下。
[162:41.650] 你会有水。
[162:43.940] 喝水聊天。
[162:46.720] 最后也分手。
[163:04.300] 刚才跟你说，
[163:05.390] 不管是不是有个中介部
[164:23.360] 说。
[164:25.510] 咋呢？
[164:26.730] 远场
[164:29.580] 花。
[164:30.600] 远远。
[164:33.070] 的
[164:34.870] 快。
[164:49.370] 谁知。
[164:51.100] 手。
[164:52.760] 谁知
[164:58.320] 了
[165:05.960] 要
[165:08.110] 谁知
[166:56.390] 收的时候是吧？
[166:58.280] 我就说一下。
[166:59.370] 深圳是吧？回来吃饭咱们准备走了是吗？
[167:03.260] 中午。
[167:05.740] 完了以后直接放在里面，你可以把群里面沟通。
[167:17.880] 这边
[167:20.530] 了。
[167:21.620] 我在前面带路，中秋节
[167:27.750] 三
[167:35.470] 的
[167:37.320] 三
[167:40.410] 号。
[167:41.400] 是吧？加上滑下去了，
[167:44.930] 官员12我全讲完统一的吗？
[167:50.830] 有链接需要做吗？
[167:53.110] 他告诉你量的百分之多少呢？
[167:56.210] 62。
[168:00.980] 18。
[168:02.510] 四百零 800
[168:04.840] 1万多，
[168:06.340] 首付16万多。
[168:09.440] 每月
[168:10.340] 408 4个亿，
[168:12.800] 拿水了。
[168:14.360] 帮
[168:15.350] 待会你10万要了解。
[168:18.200] 不是这个我已经拿到花了，也有没看过。
[168:28.840] 有什么完了他商量改进了吗？
[168:31.020] 没有，他订了就等会儿。
[168:33.920] 身上没用了。
[168:35.430] 你哪儿去？
[168:36.850] 他就是什么华天。
[168:41.240] 我的钱包什么的。
[168:42.520] 对，但是你要吗？给你行。
[168:45.630] 什么？
[168:51.440] 不放量，
[168:52.840] 要。
[169:44.170] 您刚花着间接，我们就直接。
[169:46.760] 选对点完就完了
[169:48.600] 了。
[169:51.750] 了
[169:59.310] 您跟我去扫描购买8路一侧外号，您内部也开一车吗？
[170:04.910] 等等。
[170:06.720] 走路只能放一下，走动一下。
[170:17.810] 那就都是星期。
[170:19.920] 星期三。
[170:37.080] 这个叫石墨。
[170:40.220] 客户那个曲子一块李娜打手机，
[170:43.220] 就可以给您
[170:46.980] 这领什么东西我也不知道Jay
[170:49.620] 典型观点是不知道那什么东西睡对面就能领，我不知道领东西。
[170:55.350] 的。
[171:03.090] 你那超别跑了。
[171:05.730] 坚决嫂子有。
[171:16.120] 输您车牌我说完车牌号就行。
[171:23.030] 了行就行。
[171:24.120] 这是广告管理的。
[171:26.240] 走了。
[171:27.440] 走可以了是吧？今天能跟他回去再填，这回来的行不忙的时候再弄。
[171:33.070] 好了就行。
[171:38.400] 了。
[171:40.000] 你俩做就让俩孩子过去领了得了。
[171:42.940] 今天不领就没了。
[171:44.520] 了，就对面刚才那听好，你确定你们俩去领这东西看看什么？
[171:49.640] 别跟个女的在这一点领去哪里见面，就刚才你喝饮料那边。
[171:55.750] 6点。
[171:56.710] 没去吧？
[172:00.810] 不知道什么东西。
[172:02.070] 你看奔驰。
[172:03.550] 大多
[172:04.860] 八几年的时候。
[172:07.110] 当时很贵的你知道吗？港片你们不都这吗？好高分。
[172:14.110] 然后我们后面还有一个车，
[172:16.430] 最后比这还冷。
[172:17.870] 要置换吗？对收藏。
[172:19.830] 收藏了，这还是值得收藏吗？相当。
[172:24.030] 现在已经涨了8万，
[172:26.680] 这车他收入2万块钱收着看，太阳底下晒着这叫收藏，他刚过来的过来保养。
[172:33.070] 过来保养轮胎。
[172:35.610] 完善出台。
[172:37.120] 只能是礼拜六礼拜天，
[172:38.950] 为什么？因为它排放不达标，
[172:41.980] 只能礼拜六礼拜天。
[172:44.240] 这也是别人卖给你的吗？
[172:46.200] 我们老板收藏
